"","lower_bound","upper_bound","Date","YoY","Employment","96 Total"
"1",13031.8532528054,13416.853783742,2020.25,1.9978529786845,13174.8012765452,11960.1
"2",12979.6315680396,13439.2915065874,2020.5,2.05044146328546,13120.2844193088,12330.8
"3",13160.2356652837,13686.1480889362,2020.75,2.3554125461062,13297.3475200251,12633.5
"4",13261.5074685393,13843.2508008509,2021,2.63681812324489,13392.418627379,12751.4
"5",13415.0704093507,14165.9265300155,2021.25,2.83120012234847,13553.1367115502,12897.4
"6",13368.4240689053,14235.9416332022,2021.5,2.99665903753437,13519.4048808485,12663.3
"7",13577.706956013,14522.6332122714,2021.75,3.09089582746537,13714.7725336533,12968.6
"8",13646.4886106798,14697.4135124045,2022,3.18929314239193,13826.4262161222,13186.7
"9",13875.7112716068,15034.9705585143,2022.25,3.23692405778943,13999.0189581332,13279
